epoch,epoch_training_loss,epoch_validation_loss,validation_accuracy,validation_f1,model-activation-optimizer-lr-wd
6,0.5191,0.5202,0.7419719903805347,0.7374,SmallMLP-Tanh-Adagrad-0.1-0
7,0.5166,0.5159,0.7452256330456924,0.7427,SmallMLP-Tanh-Adagrad-0.1-0
8,0.5145,0.5161,0.7445183194228321,0.7405,SmallMLP-Tanh-Adagrad-0.1-0
9,0.5146,0.5161,0.7445183194228321,0.7402,SmallMLP-Tanh-Adagrad-0.1-0
10,0.5129,0.5209,0.740557363134814,0.7338,SmallMLP-Tanh-Adagrad-0.1-0
11,0.5109,0.5236,0.7416890649313905,0.735,SmallMLP-Tanh-Adagrad-0.1-0
12,0.5092,0.5482,0.7234403734615928,0.7092,SmallMLP-Tanh-Adagrad-0.1-0
13,0.5085,0.5133,0.7453670957702645,0.7447,SmallMLP-Tanh-Adagrad-0.1-0
14,0.5084,0.5102,0.7479134248125618,0.7465,SmallMLP-Tanh-Adagrad-0.1-0
15,0.5077,0.5138,0.7459329466685528,0.7414,SmallMLP-Tanh-Adagrad-0.1-0
16,0.5058,0.5154,0.7453670957702645,0.7452,SmallMLP-Tanh-Adagrad-0.1-0
17,0.5064,0.5155,0.7448012448719762,0.7393,SmallMLP-Tanh-Adagrad-0.1-0
18,0.5033,0.5109,0.7438110057999717,0.7432,SmallMLP-Tanh-Adagrad-0.1-0
19,0.5047,0.5128,0.7445183194228321,0.7441,SmallMLP-Tanh-Adagrad-0.1-0
20,0.5058,0.5109,0.7452256330456924,0.7447,SmallMLP-Tanh-Adagrad-0.1-0
21,0.5031,0.5092,0.7489036638845664,0.7458,SmallMLP-Tanh-Adagrad-0.1-0
22,0.505,0.5085,0.7449427075965483,0.7438,SmallMLP-Tanh-Adagrad-0.1-0
23,0.505,0.5324,0.7347573914273589,0.7342,SmallMLP-Tanh-Adagrad-0.1-0
24,0.504,0.508,0.7463573348422691,0.7448,SmallMLP-Tanh-Adagrad-0.1-0
25,0.5019,0.5079,0.7470646484651294,0.7454,SmallMLP-Tanh-Adagrad-0.1-0
26,0.5035,0.5083,0.7466402602914132,0.7448,SmallMLP-Tanh-Adagrad-0.1-0
27,0.5006,0.508,0.7473475739142736,0.7457,SmallMLP-Tanh-Adagrad-0.1-0
28,0.503,0.51,0.7450841703211204,0.7445,SmallMLP-Tanh-Adagrad-0.1-0
29,0.5027,0.509,0.748054887537134,0.7448,SmallMLP-Tanh-Adagrad-0.1-0
30,0.5028,0.5099,0.7472061111897015,0.7432,SmallMLP-Tanh-Adagrad-0.1-0
31,0.5018,0.523,0.7395671240628094,0.7315,SmallMLP-Tanh-Adagrad-0.1-0
32,0.5022,0.5238,0.7404159004102419,0.732,SmallMLP-Tanh-Adagrad-0.1-0
33,0.5026,0.5077,0.7484792757108502,0.7462,SmallMLP-Tanh-Adagrad-0.1-0
34,0.5032,0.5077,0.7493280520582827,0.7472,SmallMLP-Tanh-Adagrad-0.1-0
35,0.4999,0.5087,0.7457914839439808,0.7448,SmallMLP-Tanh-Adagrad-0.1-0
36,0.501,0.5189,0.7414061394822464,0.735,SmallMLP-Tanh-Adagrad-0.1-0
37,0.5019,0.5149,0.7448012448719762,0.7448,SmallMLP-Tanh-Adagrad-0.1-0
38,0.502,0.5082,0.746215872117697,0.7454,SmallMLP-Tanh-Adagrad-0.1-0
39,0.5018,0.5097,0.7450841703211204,0.7446,SmallMLP-Tanh-Adagrad-0.1-0
40,0.5011,0.5092,0.7467817230159853,0.7463,SmallMLP-Tanh-Adagrad-0.1-0
41,0.5009,0.5211,0.7395671240628094,0.7321,SmallMLP-Tanh-Adagrad-0.1-0
42,0.5001,0.5073,0.7477719620879898,0.7458,SmallMLP-Tanh-Adagrad-0.1-0
43,0.4994,0.5105,0.748054887537134,0.7443,SmallMLP-Tanh-Adagrad-0.1-0
44,0.5009,0.5126,0.7456500212194087,0.7455,SmallMLP-Tanh-Adagrad-0.1-0
45,0.5002,0.5094,0.7455085584948367,0.745,SmallMLP-Tanh-Adagrad-0.1-0
46,0.4997,0.5086,0.7463573348422691,0.7457,SmallMLP-Tanh-Adagrad-0.1-0
47,0.501,0.5132,0.7450841703211204,0.745,SmallMLP-Tanh-Adagrad-0.1-0
48,0.4988,0.5087,0.7493280520582827,0.7461,SmallMLP-Tanh-Adagrad-0.1-0
49,0.501,0.5073,0.7472061111897015,0.7453,SmallMLP-Tanh-Adagrad-0.1-0
50,0.5009,0.5148,0.7436695430753997,0.7381,SmallMLP-Tanh-Adagrad-0.1-0
51,0.4994,0.5122,0.7479134248125618,0.7434,SmallMLP-Tanh-Adagrad-0.1-0
52,0.4995,0.5105,0.7484792757108502,0.7443,SmallMLP-Tanh-Adagrad-0.1-0
53,0.5019,0.5095,0.7459329466685528,0.7455,SmallMLP-Tanh-Adagrad-0.1-0
54,0.5001,0.5093,0.7487622011599944,0.745,SmallMLP-Tanh-Adagrad-0.1-0
55,0.5003,0.5083,0.7469231857405574,0.7463,SmallMLP-Tanh-Adagrad-0.1-0
56,0.4997,0.5073,0.7464987975668411,0.7451,SmallMLP-Tanh-Adagrad-0.1-0
57,0.4995,0.5071,0.7481963502617061,0.7461,SmallMLP-Tanh-Adagrad-0.1-0
58,0.499,0.5086,0.7486207384354223,0.7454,SmallMLP-Tanh-Adagrad-0.1-0
59,0.499,0.5133,0.7440939312491158,0.744,SmallMLP-Tanh-Adagrad-0.1-0
60,0.5001,0.5115,0.7452256330456924,0.745,SmallMLP-Tanh-Adagrad-0.1-0
61,0.499,0.5091,0.7483378129862781,0.7449,SmallMLP-Tanh-Adagrad-0.1-0
62,0.5017,0.5072,0.7464987975668411,0.7449,SmallMLP-Tanh-Adagrad-0.1-0
63,0.4986,0.5086,0.7493280520582827,0.7462,SmallMLP-Tanh-Adagrad-0.1-0
64,0.4996,0.5088,0.7489036638845664,0.7454,SmallMLP-Tanh-Adagrad-0.1-0
65,0.4991,0.5073,0.7486207384354223,0.7462,SmallMLP-Tanh-Adagrad-0.1-0
66,0.4992,0.5183,0.7418305276559627,0.7418,SmallMLP-Tanh-Adagrad-0.1-0
67,0.4987,0.5118,0.7448012448719762,0.7447,SmallMLP-Tanh-Adagrad-0.1-0
68,0.5,0.5086,0.7456500212194087,0.7451,SmallMLP-Tanh-Adagrad-0.1-0
69,0.4988,0.508,0.7497524402319988,0.747,SmallMLP-Tanh-Adagrad-0.1-0
70,0.4996,0.5071,0.7472061111897015,0.7462,SmallMLP-Tanh-Adagrad-0.1-0
71,0.4987,0.5094,0.7487622011599944,0.7449,SmallMLP-Tanh-Adagrad-0.1-0
72,0.4985,0.5123,0.7474890366388457,0.7432,SmallMLP-Tanh-Adagrad-0.1-0
73,0.4988,0.5068,0.7476304993634177,0.7457,SmallMLP-Tanh-Adagrad-0.1-0
74,0.4975,0.5206,0.7411232140331023,0.7411,SmallMLP-Tanh-Adagrad-0.1-0
75,0.4986,0.5069,0.7477719620879898,0.746,SmallMLP-Tanh-Adagrad-0.1-0
76,0.499,0.5115,0.7459329466685528,0.7458,SmallMLP-Tanh-Adagrad-0.1-0
77,0.4974,0.507,0.7477719620879898,0.746,SmallMLP-Tanh-Adagrad-0.1-0
78,0.4991,0.5081,0.7477719620879898,0.7472,SmallMLP-Tanh-Adagrad-0.1-0
79,0.4979,0.5071,0.7477719620879898,0.7463,SmallMLP-Tanh-Adagrad-0.1-0
80,0.4986,0.5071,0.7467817230159853,0.7457,SmallMLP-Tanh-Adagrad-0.1-0
81,0.4982,0.5071,0.7470646484651294,0.7459,SmallMLP-Tanh-Adagrad-0.1-0
82,0.4986,0.5085,0.7477719620879898,0.7472,SmallMLP-Tanh-Adagrad-0.1-0
83,0.4987,0.5069,0.7474890366388457,0.7459,SmallMLP-Tanh-Adagrad-0.1-0
84,0.4984,0.507,0.7481963502617061,0.7462,SmallMLP-Tanh-Adagrad-0.1-0
85,0.4998,0.5119,0.7469231857405574,0.7421,SmallMLP-Tanh-Adagrad-0.1-0
86,0.4978,0.5072,0.7487622011599944,0.7465,SmallMLP-Tanh-Adagrad-0.1-0
87,0.4982,0.5072,0.7470646484651294,0.746,SmallMLP-Tanh-Adagrad-0.1-0
88,0.4982,0.509,0.7487622011599944,0.7455,SmallMLP-Tanh-Adagrad-0.1-0
89,0.497,0.5076,0.7467817230159853,0.746,SmallMLP-Tanh-Adagrad-0.1-0
90,0.4995,0.5076,0.746215872117697,0.7454,SmallMLP-Tanh-Adagrad-0.1-0
91,0.4987,0.5068,0.7473475739142736,0.7457,SmallMLP-Tanh-Adagrad-0.1-0
92,0.4975,0.5135,0.7450841703211204,0.745,SmallMLP-Tanh-Adagrad-0.1-0
93,0.4972,0.5112,0.7455085584948367,0.7453,SmallMLP-Tanh-Adagrad-0.1-0
94,0.4982,0.5095,0.7459329466685528,0.7456,SmallMLP-Tanh-Adagrad-0.1-0
95,0.4987,0.5072,0.7481963502617061,0.7462,SmallMLP-Tanh-Adagrad-0.1-0
96,0.4985,0.5073,0.7466402602914132,0.7457,SmallMLP-Tanh-Adagrad-0.1-0
97,0.498,0.5284,0.7381524968170887,0.7377,SmallMLP-Tanh-Adagrad-0.1-0
98,0.4991,0.507,0.7472061111897015,0.7458,SmallMLP-Tanh-Adagrad-0.1-0
99,0.497,0.5093,0.7487622011599944,0.7455,SmallMLP-Tanh-Adagrad-0.1-0
