epoch,epoch_training_loss,epoch_validation_loss,epoch_testing_loss,training_accuracy,training_f1,validation_accuracy,validation_f1,testing_accuracy,testing_f1,model-activation-optimizer-lr-wd
87,0.53,0.5138,0.5206,0.7370579915134371,0.7359,0.7476304993634177,0.7468,0.7431082347532403,0.742,SmallMLP-Tanh-Adagrad-0.01-0
88,0.5285,0.5148,0.5214,0.7370579915134371,0.7366,0.7490451266091385,0.7487,0.7426308065000973,0.7422,SmallMLP-Tanh-Adagrad-0.01-0
89,0.5279,0.5136,0.5204,0.7362093352192363,0.7347,0.7463573348422691,0.7452,0.7434265202553357,0.742,SmallMLP-Tanh-Adagrad-0.01-0
90,0.5278,0.5137,0.5205,0.7369165487977369,0.7361,0.7477719620879898,0.7472,0.7437624882853253,0.743,SmallMLP-Tanh-Adagrad-0.01-0
91,0.5277,0.5133,0.5201,0.7373408769448373,0.7362,0.7479134248125618,0.747,0.7434088377274415,0.7423,SmallMLP-Tanh-Adagrad-0.01-0
92,0.5277,0.5133,0.52,0.7366336633663366,0.7356,0.7473475739142736,0.7466,0.7431259172811345,0.7422,SmallMLP-Tanh-Adagrad-0.01-0
93,0.5277,0.5131,0.5199,0.7364922206506365,0.7354,0.7469231857405574,0.7461,0.7430021395858752,0.742,SmallMLP-Tanh-Adagrad-0.01-0
94,0.5281,0.5136,0.5203,0.7362093352192363,0.7356,0.7484792757108502,0.7481,0.7436210280621718,0.743,SmallMLP-Tanh-Adagrad-0.01-0
95,0.5268,0.5129,0.5197,0.7363507779349363,0.7352,0.7477719620879898,0.7469,0.7434442027832299,0.7424,SmallMLP-Tanh-Adagrad-0.01-0
96,0.5282,0.5128,0.5196,0.7363507779349363,0.7349,0.7460744093931249,0.7449,0.7436563931179602,0.7423,SmallMLP-Tanh-Adagrad-0.01-0
97,0.527,0.5127,0.5195,0.7377652050919378,0.7365,0.7474890366388457,0.7465,0.7436210280621718,0.7424,SmallMLP-Tanh-Adagrad-0.01-0
98,0.5258,0.5126,0.5194,0.7362093352192363,0.7347,0.7469231857405574,0.7458,0.7435326154227009,0.7421,SmallMLP-Tanh-Adagrad-0.01-0
99,0.5272,0.5125,0.5192,0.7367751060820368,0.7357,0.748054887537134,0.7473,0.7436210280621718,0.7426,SmallMLP-Tanh-Adagrad-0.01-0
100,0.5271,0.5124,0.5192,0.7363507779349363,0.7349,0.7474890366388457,0.7463,0.743833218396902,0.7424,SmallMLP-Tanh-Adagrad-0.01-0
