DEVICE;suministro;cliente;contrato;fecha_inicio;sea;distribuidor;subestacion;zona;distrito;distrito_descripcion;grupo_lectura;ruta_lectura;orden_lectura;grupo_tarifario;codigo_tarifa;tarifa
1018;01_DX09;SEABOZV;5;2020-06-10Z;SRBUSTO;13_ELCONDOR;3023;A;1;CORDOBA;1;89;172;1;140;1.a/f RESIDENCIAL
1019;01_DX10;DGVFWO;1;1990-06-30Z;SRBUSTO;13_ELCONDOR;3797;A;1;CORDOBA;1;1303;271;1;150;1.h   RESIDENCIAL
1020;01_DY01;PKGVCAU;1;2013-10-30Z;SRBUSTO;13_ELCONDOR;3172;A;1;CORDOBA;1;1303;275;1;140;1.a/f RESIDENCIAL
1021;01_DY02;VGLMRQ;2;2008-03-19Z;SRBUSTO;13_FAVICUR;3250;A;1;CORDOBA;1;1290;107;1;190;Residencial
1022;01_DY03;TLYNFGP;5;2016-04-22Z;SRBUSTO;13_ELCONDOR;5231;A;1;CORDOBA;1;1384;58;1;140;1.a/f RESIDENCIAL
1023;01_DY04;MKYTEG;1;1990-06-30Z;SRBUSTO;13_ELCONDOR;3172;A;1;CORDOBA;1;1384;126;1;140;1.a/f RESIDENCIAL
1024;01_DY05;LEWRFV;1;1990-06-30Z;SRBUSTO;13_ELCONDOR;3172;A;1;CORDOBA;1;1384;9;1;140;1.a/f RESIDENCIAL
1025;01_DY06;UNWGLR;1;1990-06-30Z;SRBUSTO;13_ELCONDOR;3172;A;1;CORDOBA;1;1384;24;1;140;1.a/f RESIDENCIAL
1026;01_DY07;SWLXNFS;5;2021-04-21Z;SRBUSTO;13_ELCONDOR;5231;A;1;CORDOBA;1;1384;153;1;140;1.a/f RESIDENCIAL
1027;01_DY08;NTKGXBU;2;2001-03-30Z;SRBUSTO;13_ELCONDOR;5231;A;1;CORDOBA;1;1384;115;1;140;1.a/f RESIDENCIAL
1028;01_DY09;RRGQLT;2;2017-05-02Z;SRBUSTO;13_ELCONDOR;3172;A;1;CORDOBA;1;1384;137;1;140;1.a/f RESIDENCIAL
